ID,P-value,Node Degree,Activity Score
C00009,0.273302332130741,2,1.7586879856516
C00022,0.384859184217185,0,0.868977963217195
C00025,0.511023518870014,2,3.27057926672721
C00049,0.872369870500983,1,1.54014499875783
C00064,0.0326255206776045,3,4.58094579084526
C00065,0.161752613981253,1,1.75108125516533
C00086,0.911023614391541,2,1.80739783498726
C00097,0.552005500173557,0,0.594757619634409
C00124,0.579530368526951,3,2.31622854753933
C00148,0.843295333958664,3,4.96404691696128
C00158,0.21531212528253,4,3.5830807295322
C00183,0.0578532732204579,4,5.72148475119332
C00186,0.318210954168035,5,7.44998270444723
C00187,0.123295106960889,0,1.54108908096391
C00188,0.422852587308767,5,7.83377511667115
C00189,0.189817075415419,3,5.6782399982614
C00209,0.548398917847519,3,1.6479920389614
C00247,0.167741874817334,2,2.53828607521626
C00249,0.581324419404869,2,2.20101131978397
C00337,0.410461711747542,2,2.28713716187641
C00383,0.00255206812941732,3,5.48158104831808
C00581,0.54987980540165,5,7.02473197080313
C00643,0.231505274495052,2,2.90149513568954
C00978,0.37411769322477,1,1.65715211836327
C01585,0.645396175968115,1,0.941578968778944
C01595,0.88665380598385,0,0.142539595472605
C01712,0.641276560894354,2,2.48548640374734
C02170,0.735255234857105,1,0.938304292718842
C02262,0.630223909848129,2,1.55434524849351
C02457,0.473666381683137,1,1.37377119192198
C02497,0.724928324719055,5,8.11987251186255
C02679,0.540030890207625,2,1.64824883367984
C03046,0.0770593158473554,2,3.86249770643386
C03752,0.396325031806004,1,2.984864469684
C05145,0.0785321409382859,1,1.95694729851329
C05984,0.364852128490082,1,1.6745235506134
C06156,0.442270154551816,3,3.36479243634234
C06418,0.0867560373931497,0,1.71276360981583
C06424,0.865225117800637,0,0.169726645774592
